iShares Russell 2000 ETF
Fund Holdings as of,"Jan 02, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"299,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","545,736,372.72","0.75","545,736,372.72","3,810,476.00","143.22","United States","NASDAQ","USD","1.00","USD","-"
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","535,965,158.55","0.73","535,965,158.55","5,430,795.00","98.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","430,817,838.66","0.59","430,817,838.66","898,623.00","479.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","393,256,939.32","0.54","393,256,939.32","8,408,316.00","46.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","378,117,946.48","0.52","378,117,946.48","3,370,636.00","112.18","United States","NASDAQ","USD","1.00","USD","-"
"NXT","NEXTPOWER INC CLASS A","Industrials","Equity","336,445,052.26","0.46","336,445,052.26","3,626,267.00","92.78","United States","NASDAQ","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","328,828,871.43","0.45","328,828,871.43","4,147,167.00","79.29","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","308,720,317.04","0.42","308,720,317.04","3,946,064.00","78.23","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","307,085,402.90","0.42","307,085,402.90","3,018,335.00","101.74","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","298,245,784.56","0.41","298,245,784.56","15,805,288.00","18.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","279,401,159.70","0.38","279,401,159.70","15,920,294.00","17.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","274,378,035.79","0.37","274,378,035.79","462,017.00","593.87","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","266,842,302.00","0.36","266,842,302.00","2,687,775.00","99.28","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","243,784,555.98","0.33","243,784,555.98","1,199,373.00","203.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","242,873,192.80","0.33","242,873,192.80","1,396,465.00","173.92","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","242,488,441.28","0.33","242,488,441.28","697,688.00","347.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","240,644,390.80","0.33","240,644,390.80","939,320.00","256.19","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","236,804,591.92","0.32","236,804,591.92","741,962.00","319.16","United States","NASDAQ","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM INC","Information Technology","Equity","233,948,939.78","0.32","233,948,939.78","8,316,706.00","28.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","231,870,575.90","0.32","231,870,575.90","1,124,330.00","206.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","223,410,147.59","0.31","223,410,147.59","3,295,621.00","67.79","United States","NASDAQ","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","213,690,946.56","0.29","213,690,946.56","1,834,572.00","116.48","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","210,248,795.46","0.29","210,248,795.46","644,421.00","326.26","United States","NASDAQ","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","210,230,459.80","0.29","210,230,459.80","2,702,191.00","77.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","208,370,025.54","0.28","208,370,025.54","938,646.00","221.99","United States","NASDAQ","USD","1.00","USD","-"
"RNA","AVIDITY BIOSCIENCES INC","Health Care","Equity","207,273,656.80","0.28","207,273,656.80","2,874,808.00","72.10","United States","NASDAQ","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","207,153,459.20","0.28","207,153,459.20","1,300,480.00","159.29","United States","NASDAQ","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","203,154,268.45","0.28","203,154,268.45","5,594,995.00","36.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","199,773,850.12","0.27","199,773,850.12","4,228,913.00","47.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","199,445,398.62","0.27","199,445,398.62","2,778,178.00","71.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","199,005,463.80","0.27","199,005,463.80","8,825,076.00","22.55","United States","NASDAQ","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","198,251,945.04","0.27","198,251,945.04","535,874.00","369.96","United States","NASDAQ","USD","1.00","USD","-"
"JBTM","JBT MAREL CORP","Industrials","Equity","195,485,697.88","0.27","195,485,697.88","1,298,132.00","150.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","193,335,052.96","0.26","193,335,052.96","2,122,928.00","91.07","United States","NASDAQ","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","190,361,235.66","0.26","190,361,235.66","683,327.00","278.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","187,320,634.00","0.26","187,320,634.00","7,937,315.00","23.60","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","183,412,065.50","0.25","183,412,065.50","1,302,550.00","140.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","182,353,069.97","0.25","182,353,069.97","23,713,013.00","7.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
